barcode	disease	BAM_path
TCGA-2F-A9KO-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/6f4fe6bd7f804cb483225f52c7513a41/all_sequences.bam
TCGA-2F-A9KP-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/2fa73048f580403b8893224d67ba0ada/all_sequences.bam
TCGA-2F-A9KQ-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/5cd0ea729f3e4a2b895833409dfaafa6/all_sequences.bam
TCGA-2F-A9KR-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/daefbd9b3b75462a9ac75ca692b9854d/all_sequences.bam
TCGA-2F-A9KT-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/d4cc2726c5914a46afaa156fd5ab84be/all_sequences.bam
TCGA-2F-A9KW-01A-11R-A38B-07	BLCA	/gscmnt/gc7000/info/alignment_data/imported/fd76cd41c42844399ec56700176a234d/all_sequences.bam
TCGA-BA-4074-01A-01R-1436-07	HNSC	/gscmnt/gc13000/info/alignment_data/imported/2892785134/all_sequences.bam
TCGA-BA-4075-01A-01R-1436-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891007358/all_sequences.bam
TCGA-BA-4076-01A-01R-1436-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891007308/all_sequences.bam
TCGA-BA-4077-01B-01R-1436-07	HNSC	/gscmnt/gc9007/info/alignment_data/imported/2891007355/all_sequences.bam
TCGA-BA-4078-01A-01R-1436-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891007311/all_sequences.bam
TCGA-BA-5149-01A-01R-1514-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891007312/all_sequences.bam
TCGA-BA-5151-01A-01R-1436-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891007310/all_sequences.bam
TCGA-BA-5152-01A-02R-1873-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891007313/all_sequences.bam
TCGA-BA-5153-01A-01R-1436-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891008408/all_sequences.bam
TCGA-BA-5555-01A-01R-1514-07	HNSC	/gscmnt/ams1175/info/alignment_data/imported/2891008409/all_sequences.bam
TCGA-BA-5556-01A-01R-1514-07	HNSC	/gscmnt/ams1146/info/alignment_data/imported/2891008422/all_sequences.bam
TCGA-BA-5557-01A-01R-1514-07	HNSC	/gscmnt/ams1146/info/alignment_data/imported/2891008392/all_sequences.bam
TCGA-BA-5558-01A-01R-1514-07	HNSC	/gscmnt/ams1146/info/alignment_data/imported/2891008418/all_sequences.bam
TCGA-BA-5559-01A-01R-1514-07	HNSC	/gscmnt/ams1146/info/alignment_data/imported/2891008384/all_sequences.bam
